,image_paths,x,y,text_index_list
0,SK-A-3292.jpg,0.5755217671394348,3.6017267704010014,"1680,2163,4459,3359,3696,941,4420"
1,SK-A-4212.jpg,6.7615013122558585,5.287604808807373,"101,433,660,1211,3472,1053,4726,699,4472,884,484,4004,1115,4462,4904,4873,513,4382,3128,2931,505,2543,1723,3856,3683,3030,4609,2222,4849,1890,4349,2899,488,648,940,2273,1313,2238,557,3004"
2,SK-A-1706.jpg,1.6349159479141235,2.456937551498413,"1680,3762,1338,3752,2921,2105,181,272,3993,4355,2557,1848,2222,4699,4209,3577,1118"
3,SK-A-2992.jpg,4.30300235748291,4.331982612609863,"1680,2,1217,1859,1635,266,3989,2222,1549,1044,3829,2314"
4,SK-A-90.jpg,4.166341781616212,6.040043830871582,"1680,739,2127,4313,2629,2047,2222,611,4367,1044,2896,4063,1474,1736,4696,140,3861,1551"
5,SK-A-611.jpg,1.7839571237564087,4.545592308044434,"2557,1848,1680,1803,1777,3824,3196,3881,3732,356,4208,3268,4280,1549,1044"
6,SK-A-1638.jpg,1.7634992599487305,3.789596080780029,"1680,2,3300,3003,2916,3957,2137,2117"
7,SK-A-4025.jpg,10.13042163848877,5.18284273147583,"3352,898,1234,4079,4415,2706,2795,4394,4558,1322,4800,4121,2679,2629,1560,1537,2080,188,3820,71,3446,1338,706,4169,2349,3813"
8,SK-A-3799.jpg,-1.0838782787322998,4.681305408477783,"1680,3122,2782,3446,2455,131,2149,3114,4793,3031,4707,544,2629,761,2222,3607,2370,4521,249,1840,3352,4313,2795,4217,2095,1912,605,3956,2860,1,1365,3363,2004"
9,SK-A-4411.jpg,1.4580687284469604,5.586791038513184,"1680,4195,4118,3408,266,1977,4540,591,2648,2704,4188,4048,1184,1238,1912,1125,221"
10,SK-A-2073.jpg,1.9905686378479004,4.693645477294922,"1680,1129,1373,3196,1296,3750,3122,874,3300,2557,1848,2629,3607,1890,4710,4370,4743,2702,2868,4209,3577,1118,3862,1506"
11,SK-A-375.jpg,5.291078090667725,5.7346558570861825,"2176,140,3661,2648,4146,2932,1231,2222,1890,1627,3031,745,125,3688,4743,2629,544,2032,4208,356,4150,3980,3916,3147,438,132"
12,SK-A-2653.jpg,10.84225082397461,3.65319299697876,"3336,219,431,3354,1630,533"
13,SK-A-584.jpg,1.6831930875778198,4.3454017639160165,"1680,2648,2704,2052,1338,2244,3196,4494,2557,1848,3300,2968,1890,2702,4743,1141,2086,2222,3607,2349,3813"
14,SK-A-2125.jpg,-0.04741869866847992,5.120627403259277,"1680,4170,1064,3314,1469,473,3561,2191,1044,2013,13,245,2559,2891"
15,SK-A-4184.jpg,6.960752010345459,4.437880039215088,"4115,1505,3884,447,125,45,2083,2968,1671,382,2629,160,4401,1767,3523,302,1993,4349,258,43,4443,2883"
16,SK-A-910.jpg,1.8650708198547363,4.764168739318848,"1680,1624,4428,2747,3196,3122,1425,1065,1373,266,130,356,4208,3268,2868,4209,1118,1506"
17,SK-A-4522.jpg,-0.17484809458255768,3.7907261848449703,"1680,3579,1716,2626,266,130,2222,1912,605,3956,1397,1209,3658,1365,3363,4297,2485,3952,3793,3296,3494,2378,4010"
18,SK-A-3990.jpg,2.653899669647217,5.366199016571045,"1680,2648,1961,1966,4778,4793,218,3300,1890,4842,4370"
